Šg’£Žq,Œ¾ŒêŽw’èŽq,Œ¾Œê–¼
html,markup,markup
css,css,css
js,javascript,JavaScript
applescript,applescript,AppleScript
c,c,C
cs,csharp,C#
cpp,cpp,C++
coffee,coffeescript,CoffeeScript
dart,dart,Dart
e,eiffel,Eiffel
erl,erlang,Erlang
fs,fsharp,F#
f,fortran,Fortran
feature,gherkin,Gherkin
go,go,Go
groovy,groovy,Groovy
haml,haml,Haml
hbs,handlebars,Handlebars
hs,haskell,Haskell
jade,jade,Jade
java,java,Java
jl,julia,Julia
tex,latex,LaTeX
less,less,Less
md,markdown,Markdown
mat,matlab,MATLAB
m,objectivec,Objective-C
p,pascal,Pascal
pl,perl,Perl
php,php,PHP
py,python,Python
r,r,R
rb,ruby,Ruby
scss,scss,Sass(Scss)
scala,scala,Scala
st,smalltalk,Smalltalk
sql,sql,SQL
swift,swift,Swift
twig,twig,Twig
ts,typescript,TypeScript
